Date,Close,High,Low,Open,Volume,return,ma_5,ma_10,ma_20,rsi_14,volatility_20,news_sentiment,twitter_sentiment,combined_sentiment,sentiment_7d,sentiment_30d
2010-01-04,6.440330982208252,6.455076781226995,6.391278499172716,6.422876697326148,493729600.0,,,,,,,0,0,0,0.0,0.0
2010-01-05,6.451466083526611,6.487879368872802,6.417459939457402,6.458086826968792,601904800.0,0.0017289641400606293,,,,,,0,0,0,0.0,0.0
2010-01-06,6.348845958709717,6.4770447941915,6.342225216323105,6.451465054945159,552160000.0,-0.015906481331263267,,,,,,0,0,0,0.0,0.0
2010-01-07,6.337109565734863,6.37984305187511,6.291066511579937,6.372319480055896,477131200.0,-0.0018485868221063129,,,,,,0,0,0,0.0,0.0
2010-01-08,6.379240036010742,6.3798423234804025,6.291367539745052,6.328682844536467,447610800.0,0.006648215537203406,6.391398525238037,,,,,0,0,0,0.0,0.0
2010-01-11,6.322967529296875,6.40993762353118,6.273011807524036,6.403918765054223,462229600.0,-0.008821192868775807,6.367925834655762,,,,,0,0,0,0.0,0.0
2010-01-12,6.251040935516357,6.312733411200337,6.211919573553115,6.295278325516592,594459600.0,-0.01137544886119568,6.327840805053711,,,,,0,0,0,0.0,0.0
2010-01-13,6.33921480178833,6.347641200412679,6.142102485846587,6.255555513710475,605892000.0,0.014105469342073462,6.325914573669434,,,,,0,0,0,0.0,0.0
2010-01-14,6.302502155303955,6.333498868494199,6.290163899676365,6.322966270050092,432894000.0,-0.005791355496270301,6.318993091583252,,,,,0,0,0,0.0,0.0
2010-01-15,6.197174549102783,6.367805536404338,6.195368891923551,6.34764236456958,594067600.0,-0.016712030175591752,6.28257999420166,6.336989259719848,,,,0,0,0,0.0,0.0
2010-01-19,6.471327304840088,6.475841447952822,6.236597889871232,6.269399457778435,730007600.0,0.04423834661507087,6.312251949310303,6.340088891983032,,,,0,0,0,0.0,0.0
2010-01-20,6.371717929840088,6.486674891699071,6.3046088752892695,6.467414949835066,612152800.0,-0.01539241801685709,6.336387348175049,6.3321140766143795,,,,0,0,0,0.0,0.0
2010-01-21,6.261574745178223,6.419265602042172,6.2356944607414775,6.382250832690952,608154400.0,-0.01728626186448734,6.320859336853028,6.32338695526123,,,,0,0,0,0.0,0.0
2010-01-22,5.951008796691895,6.244421252148021,5.933253971692852,6.22275417000318,881767600.0,-0.049598696993193414,6.250560665130616,6.284776878356934,,,,0,0,0,0.0,0.0
2010-01-25,6.111108303070068,6.160160393869574,6.0244387475210655,6.094255900652011,1065699600.0,0.02690291879036888,6.233347415924072,6.257963705062866,,38.88216508816586,,0,0,0,0.0,0.0
2010-01-26,6.197474479675293,6.431301822885293,6.096360104911491,6.197775422489342,1867110000.0,0.014132653574775667,6.178576850891114,6.245414400100708,,41.83746180842563,,0,0,0,0.0,0.0
2010-01-27,6.255856513977051,6.337108667348443,6.004574474146093,6.224859804269056,1722568400.0,0.009420294426902842,6.155404567718506,6.245895957946777,,46.9241365996089,,0,0,0,0.0,0.0
2010-01-28,5.997353553771973,6.184235074027143,5.9795987265158175,6.167082132562241,1173502400.0,-0.04132175340459321,6.102560329437256,6.211709833145141,,40.338869062469485,,0,0,0,0.0,0.0
2010-01-29,5.779775619506836,6.084924808953682,5.725306174385902,6.051220016650193,1245952400.0,-0.036278990777239284,6.068313694000244,6.15943717956543,,34.50045617063246,,0,0,0,0.0,0.0
2010-02-01,5.86012601852417,5.898344957536001,5.756905029982434,5.789105111892288,749876400.0,0.013901992794694396,6.018117237091064,6.125732326507569,6.2313607931137085,38.18010007318566,,0,0,0,0.0,0.0
2010-02-02,5.894132137298584,5.907975509525003,5.819500313390166,5.895637253463911,698342400.0,0.0058029671489860934,5.9574487686157225,6.068012809753418,6.204050850868225,40.705357298079946,0.022815116956191067,0,0,0,0.0,0.0
